,month-year,tot_rev,monthly_chg_rev,avg_rev,tot_cust,quantity
0,2010-12,554604.02,,20.655643202979515,948,296362
1,2011-01,475074.38,-0.14339896057731427,21.6810140562249,783,269379
2,2011-02,436546.15,-0.0810993638511931,21.438204095663703,798,262833
3,2011-03,579964.61,0.328529893116684,20.845539860542015,1020,344012
4,2011-04,426047.851,-0.26538991577434345,18.365714759893095,899,278585
5,2011-05,648251.08,0.5215452407011436,22.424625709146255,1079,367852
6,2011-06,608013.16,-0.062071504763246854,21.84269147866073,1051,356922
7,2011-07,574238.481,-0.055549256532539504,20.87988077230747,993,363418
8,2011-08,616368.0,0.07336589308092711,22.282119875641673,980,386612
9,2011-09,931440.372,0.5111757456584378,22.817117534662682,1302,537496
10,2011-10,974603.59,0.046340291120642974,19.22484643455962,1425,569666
11,2011-11,1132407.74,0.16191624124840343,17.26283941583585,1711,669915
12,2011-12,342506.38,-0.6975414703541323,19.393374101126778,686,203836
